length	width	species	stage	observer
379	19	inopinata	dauer	eric_h
523	28	inopinata	dauer	eric_h
475	30	inopinata	dauer	eric_h
432	27	inopinata	dauer	eric_h
481	44	inopinata	dauer	eric_h
419	34	inopinata	dauer	eric_h
471	35	inopinata	dauer	eric_h
379	29	inopinata	dauer	eric_h
407	33	inopinata	dauer	eric_h
419	38	inopinata	dauer	eric_h
380	26	inopinata	dauer	eric_h
441	32	inopinata	dauer	eric_h
416	34	inopinata	dauer	eric_h
493	38	inopinata	dauer	eric_h
402	29	inopinata	dauer	eric_h
473	27	inopinata	dauer	eric_h
437	33	inopinata	dauer	eric_h
344	30	inopinata	dauer	eric_h
468	27	inopinata	dauer	eric_h
436	33	inopinata	dauer	eric_h
408	24	inopinata	dauer	eric_h
489	25	inopinata	dauer	eric_h
433	21	inopinata	dauer	eric_h
424	28	inopinata	dauer	eric_h
436	25	inopinata	dauer	eric_h
447	24	inopinata	dauer	eric_h
505	27	inopinata	dauer	eric_h
404	26	inopinata	dauer	eric_h
423	24	inopinata	dauer	eric_h
450	26	inopinata	dauer	eric_h
441	26	inopinata	dauer	eric_h
393	22	inopinata	dauer	eric_h
420	26	inopinata	dauer	eric_h
429	28	inopinata	dauer	eric_h
437	23	inopinata	dauer	eric_h
411	21	inopinata	dauer	eric_h
462	21	inopinata	dauer	eric_h
435	22	inopinata	dauer	eric_h
372	26	inopinata	dauer	eric_h
432	24	inopinata	dauer	eric_h
383	25	inopinata	dauer	eric_h
497	34	inopinata	dauer	eric_h
426	24	inopinata	dauer	eric_h
337	27	inopinata	dauer	eric_h
396	30	inopinata	dauer	eric_h
482	26	inopinata	dauer	eric_h
483	29	inopinata	dauer	eric_h
393	28	inopinata	dauer	eric_h
373	21	inopinata	dauer	eric_h
373	25	inopinata	dauer	eric_h
445	26	inopinata	dauer	eric_h
351	28	inopinata	dauer	eric_h
473	27	inopinata	dauer	eric_h
467	26	inopinata	dauer	eric_h
389	29	inopinata	dauer	eric_h
326	26	inopinata	dauer	eric_h
359	25	inopinata	dauer	eric_h
361	27	inopinata	dauer	eric_h
391	26	inopinata	dauer	eric_h
432	24	inopinata	dauer	eric_h
397	26	inopinata	dauer	eric_h
344	25	inopinata	dauer	eric_h
434	22	inopinata	dauer	eric_h
391	23	inopinata	dauer	eric_h
370	25	inopinata	dauer	eric_h
355	24	inopinata	dauer	eric_h
476	27	inopinata	dauer	eric_h
403	24	inopinata	dauer	eric_h
452	31	inopinata	dauer	eric_h
500	31	inopinata	dauer	eric_h
403	25	inopinata	dauer	eric_h
454	27	inopinata	dauer	eric_h
399	23	inopinata	dauer	eric_h
425	26	inopinata	dauer	eric_h
410	23	inopinata	dauer	eric_h
416	27	inopinata	dauer	eric_h
485	28	inopinata	dauer	eric_h
509	30	inopinata	dauer	eric_h
420	27	inopinata	dauer	eric_h
444	27	inopinata	dauer	eric_h
489	28	inopinata	dauer	eric_h
418	26	inopinata	dauer	eric_h
457	28	inopinata	dauer	eric_h
452	22	inopinata	dauer	eric_h
457	26	inopinata	dauer	eric_h
349	19	inopinata	dauer	eric_h
524	26	inopinata	dauer	eric_h
431	21	inopinata	dauer	eric_h
480	21	inopinata	dauer	eric_h
466	30	inopinata	dauer	eric_h
447	30	inopinata	dauer	eric_h
448	27	inopinata	dauer	eric_h
452	28	inopinata	dauer	eric_h
502	23	inopinata	dauer	eric_h
443	34	inopinata	dauer	eric_h
428	30	inopinata	dauer	eric_h
467	29	inopinata	dauer	eric_h
572	12	elegans	dauer	eric_h
475	23	elegans	dauer	eric_h
386	18	elegans	dauer	eric_h
485	23	elegans	dauer	eric_h
527	21	elegans	dauer	eric_h
478	23	elegans	dauer	eric_h
551	24	elegans	dauer	eric_h
392	17	elegans	dauer	eric_h
454	17	elegans	dauer	eric_h
522	21	elegans	dauer	eric_h
491	22	elegans	dauer	eric_h
487	14	elegans	dauer	eric_h
409	15	elegans	dauer	eric_h
496	17	elegans	dauer	eric_h
442	16	elegans	dauer	eric_h
461	16	elegans	dauer	eric_h
513	17	elegans	dauer	eric_h
439	19	elegans	dauer	eric_h
549	20	elegans	dauer	eric_h
429	15	elegans	dauer	eric_h
398	13	elegans	dauer	eric_h
482	23	elegans	dauer	eric_h
491	15	elegans	dauer	eric_h
576	19	elegans	dauer	eric_h
379	9	elegans	dauer	eric_h
481	16	elegans	dauer	eric_h
433	15	elegans	dauer	eric_h
394	14	elegans	dauer	eric_h
493	16	elegans	dauer	eric_h
421	18	elegans	dauer	eric_h
369	16	elegans	dauer	eric_h
384	16	elegans	dauer	eric_h
413	21	elegans	dauer	eric_h
490	23	elegans	dauer	eric_h
426	15	elegans	dauer	eric_h
662	22	elegans	dauer	eric_h
385	10	elegans	dauer	eric_h
503	12	elegans	dauer	eric_h
391	16	elegans	dauer	eric_h
394	17	elegans	dauer	eric_h
410	22	elegans	dauer	eric_h
465	18	elegans	dauer	eric_h
527	20	elegans	dauer	eric_h
385	20	elegans	dauer	eric_h
413	23	elegans	dauer	eric_h
457	16	elegans	dauer	eric_h
431	14	elegans	dauer	eric_h
434	15	elegans	dauer	eric_h
471	16	elegans	dauer	eric_h
411	17	elegans	dauer	eric_h
422	16	elegans	dauer	eric_h
499	14	elegans	dauer	eric_h
519	17	elegans	dauer	eric_h
426	15	elegans	dauer	eric_h
473	16	elegans	dauer	eric_h
520	19	elegans	dauer	eric_h
394	10	elegans	dauer	eric_h
496	21	elegans	dauer	eric_h
578	21	elegans	dauer	eric_h
510	17	elegans	dauer	eric_h
439	18	elegans	dauer	eric_h
386	14	elegans	dauer	eric_h
557	21	elegans	dauer	eric_h
421	16	elegans	dauer	eric_h
438	20	elegans	dauer	eric_h
391	12	elegans	dauer	eric_h
333	17	elegans	dauer	eric_h
492	14	elegans	dauer	eric_h
498	24	elegans	dauer	eric_h
355	17	elegans	dauer	eric_h
488	22	elegans	dauer	eric_h
661	28	elegans	dauer	eric_h
354	18	elegans	dauer	eric_h
353	16	elegans	dauer	eric_h
432	16	elegans	dauer	eric_h
592	21	elegans	dauer	eric_h
498	16	elegans	dauer	eric_h
405	19	elegans	dauer	eric_h
417	23	elegans	dauer	eric_h
415	15	elegans	dauer	eric_h
445	19	elegans	dauer	eric_h
540	17	elegans	dauer	eric_h
399	17	elegans	dauer	eric_h
377	17	elegans	dauer	eric_h
374	15	elegans	dauer	eric_h
394	13	elegans	dauer	eric_h
386	17	elegans	dauer	eric_h
391	23	elegans	dauer	eric_h
444	17	elegans	dauer	eric_h
444	17	elegans	dauer	eric_h
373	13	elegans	dauer	eric_h
441	20	elegans	dauer	eric_h
431	18	elegans	dauer	eric_h
491	19	elegans	dauer	eric_h
556	26	elegans	dauer	eric_h
396	23	elegans	dauer	eric_h
462	15	elegans	dauer	eric_h
406	18	elegans	dauer	eric_h
509	14	elegans	dauer	eric_h
460	15	elegans	dauer	eric_h
471	18	elegans	dauer	eric_h
441	18	elegans	dauer	eric_h
516	21	elegans	dauer	eric_h
396	21	elegans	dauer	eric_h
566	21	elegans	dauer	eric_h
444	17	elegans	dauer	eric_h
532	24	elegans	dauer	eric_h
448	19	elegans	dauer	eric_h
493	19	elegans	dauer	eric_h
379	21	elegans	dauer	eric_h
565	20	elegans	dauer	eric_h
391	23	elegans	dauer	eric_h
461	16	elegans	dauer	eric_h
447.25	18.25	inopinata	L2	gavin_w
390.25	20.75	inopinata	L2	gavin_w
479	22.75	inopinata	L2	gavin_w
328.25	17.25	inopinata	L2	gavin_w
464	24.75	inopinata	L2	gavin_w
545	29.5	inopinata	L2	gavin_w
459.75	20.5	inopinata	L2	gavin_w
479	24.75	inopinata	L2	gavin_w
384.5	18.5	inopinata	L2	gavin_w
552.25	28.75	inopinata	L2	gavin_w
545.5	34.75	inopinata	L2	gavin_w
488.25	22.25	inopinata	L2	gavin_w
509.25	26	inopinata	L2	gavin_w
399.25	19.25	inopinata	L2	gavin_w
375.5	19.5	inopinata	L2	gavin_w
360.75	20.5	inopinata	L2	gavin_w
446.5	22	inopinata	L2	gavin_w
364.25	21	inopinata	L2	gavin_w
364	17.5	inopinata	L2	gavin_w
370	18.25	inopinata	L2	gavin_w
466.25	26.75	inopinata	L2	gavin_w
415.5	24.25	inopinata	L2	gavin_w
512	22.5	inopinata	L3	gavin_w
585.25	30.75	inopinata	L3	gavin_w
753.75	36.75	inopinata	L3	gavin_w
794.5	38.75	inopinata	L3	gavin_w
588.5	32.25	inopinata	L3	gavin_w
740.5	36.25	inopinata	L3	gavin_w
787	33	inopinata	L3	gavin_w
678.75	31.25	inopinata	L3	gavin_w
722.5	42	inopinata	L3	gavin_w
662.75	33	inopinata	L3	gavin_w
848.75	39.25	inopinata	L3	gavin_w
747.75	38.5	inopinata	L3	gavin_w
567.75	26.75	inopinata	L3	gavin_w
571.75	27.25	inopinata	L3	gavin_w
567.5	29.75	inopinata	L3	gavin_w
721	28.75	inopinata	L3	gavin_w
549.25	38.5	inopinata	L3	gavin_w
573.5	32.5	inopinata	L3	gavin_w
537.75	28.25	inopinata	L3	gavin_w
748.25	28.5	inopinata	L3	gavin_w
860.25	40	inopinata	L3	gavin_w
733.25	42.25	inopinata	L3	gavin_w
790.25	35.25	inopinata	L3	gavin_w
697.75	31	inopinata	L3	gavin_w
781.25	37	inopinata	L3	gavin_w
567.5	25	inopinata	L3	gavin_w
800.25	44.25	inopinata	L3	gavin_w
594.5	30.75	inopinata	L3	gavin_w
797.25	38	inopinata	L3	gavin_w
752.25	37.25	inopinata	L3	gavin_w
839	39.75	inopinata	L3	gavin_w
723.25	32.25	inopinata	L3	gavin_w
811.5	40.5	inopinata	L3	gavin_w
558.5	30.75	inopinata	L3	gavin_w
648.5	32	inopinata	L3	gavin_w
694.5	32	inopinata	L3	gavin_w
549	28.5	inopinata	L3	gavin_w
816.5	38.25	inopinata	L3	gavin_w
590.25	32.25	inopinata	L3	gavin_w
685	33.25	inopinata	L3	gavin_w
1701.452844	66.181752	inopinata	gravid_adult	gavin_w
1618.907472	62.181756	inopinata	gravid_adult	gavin_w
1703.63466	73.818108	inopinata	gravid_adult	gavin_w
1750.543704	58.545396	inopinata	gravid_adult	gavin_w
1585.816596	63.999936	inopinata	gravid_adult	gavin_w
1770.180048	63.6363	inopinata	gravid_adult	gavin_w
1497.816684	63.272664	inopinata	gravid_adult	gavin_w
1820.725452	65.090844	inopinata	gravid_adult	gavin_w
1542.180276	73.454472	inopinata	gravid_adult	gavin_w
1762.543692	65.45448	inopinata	gravid_adult	gavin_w
1745.4528	70.181748	inopinata	gravid_adult	gavin_w
1512.362124	76.727196	inopinata	gravid_adult	gavin_w
1479.99852	71.636292	inopinata	gravid_adult	gavin_w
1623.998376	70.181748	inopinata	gravid_adult	gavin_w
1438.18038	87.636276	inopinata	gravid_adult	gavin_w
1537.089372	61.090848	inopinata	gravid_adult	gavin_w
1553.452992	75.272652	inopinata	gravid_adult	gavin_w
1595.998404	78.18174	inopinata	gravid_adult	gavin_w
1490.9076	68.727204	inopinata	gravid_adult	gavin_w
1596.36204	71.999928	inopinata	gravid_adult	gavin_w
1797.089112	61.090848	inopinata	gravid_adult	gavin_w
1634.180184	71.999928	inopinata	gravid_adult	gavin_w
1502.907588	75.636288	inopinata	gravid_adult	gavin_w
1569.452976	67.999932	inopinata	gravid_adult	gavin_w
1685.45286	74.181744	inopinata	gravid_adult	gavin_w
1319.271408	62.909028	inopinata	gravid_adult	gavin_w
1661.452884	73.454472	inopinata	gravid_adult	gavin_w
1505.45304	73.090836	inopinata	gravid_adult	gavin_w
1674.180144	65.818116	inopinata	gravid_adult	gavin_w
1536.3621	70.90902	inopinata	gravid_adult	gavin_w
1486.543968	70.181748	inopinata	gravid_adult	gavin_w
1767.634596	66.545388	inopinata	gravid_adult	gavin_w
1281.5	38.75	inopinata	young_adult	gavin_w
1474.25	52	inopinata	young_adult	gavin_w
1218.5	54.5	inopinata	young_adult	gavin_w
1334.5	57.25	inopinata	young_adult	gavin_w
1256.75	48.75	inopinata	young_adult	gavin_w
1127.25	45.5	inopinata	young_adult	gavin_w
1212.5	52.5	inopinata	young_adult	gavin_w
1320.75	50.25	inopinata	young_adult	gavin_w
1410	55	inopinata	young_adult	gavin_w
1296	49	inopinata	young_adult	gavin_w
1489.5	64.75	inopinata	young_adult	gavin_w
1418.75	65.25	inopinata	young_adult	gavin_w
1582.5	61.75	inopinata	young_adult	gavin_w
1510.25	54.25	inopinata	young_adult	gavin_w
1432.25	60	inopinata	young_adult	gavin_w
1450.25	67	inopinata	young_adult	gavin_w
324	14.25	inopinata	L1	gavin_w
306	16	inopinata	L1	gavin_w
339.25	18	inopinata	L1	gavin_w
265.75	16.5	inopinata	L1	gavin_w
312	16	inopinata	L1	gavin_w
322.5	16.25	inopinata	L1	gavin_w
344.75	18.75	inopinata	L1	gavin_w
332.5	16.25	inopinata	L1	gavin_w
335.75	17.25	inopinata	L1	gavin_w
326.75	19.25	inopinata	L1	gavin_w
291	16.75	inopinata	L1	gavin_w
318.75	17.25	inopinata	L1	gavin_w
310.75	14.5	inopinata	L1	gavin_w
308.25	14.25	inopinata	L1	gavin_w
317.25	17.25	inopinata	L1	gavin_w
311	17.25	inopinata	L1	gavin_w
336.25	18	inopinata	L1	gavin_w
338.25	16	inopinata	L1	gavin_w
331.25	20	inopinata	L1	gavin_w
335.5	18.5	inopinata	L1	gavin_w
222.75	11	elegans	L1	gavin_w
239	14.25	elegans	L1	gavin_w
245	15.25	elegans	L1	gavin_w
238.5	12.5	elegans	L1	gavin_w
254.5	13.75	elegans	L1	gavin_w
209	14.5	elegans	L1	gavin_w
232.5	17.75	elegans	L1	gavin_w
232	15.5	elegans	L1	gavin_w
218.75	16	elegans	L1	gavin_w
266	15.25	elegans	L1	gavin_w
228	16.25	elegans	L1	gavin_w
218.5	16.75	elegans	L1	gavin_w
221	13.5	elegans	L1	gavin_w
263.5	12.5	elegans	L1	gavin_w
219.5	14.5	elegans	L1	gavin_w
245	14.75	elegans	L1	gavin_w
251.25	15.75	elegans	L1	gavin_w
254.5	13.75	elegans	L1	gavin_w
251.25	16.5	elegans	L1	gavin_w
215.5	16.75	elegans	L1	gavin_w
217.5	14.25	elegans	L1	gavin_w
255.5	14.5	elegans	L1	gavin_w
283	16.5	elegans	L1	gavin_w
229	21.25	elegans	L1	gavin_w
252.5	16.25	elegans	L1	gavin_w
272	16.25	elegans	L1	gavin_w
200.75	18.75	elegans	L1	gavin_w
276	14	elegans	L1	gavin_w
281	15.5	elegans	L1	gavin_w
286	17.75	elegans	L1	gavin_w
280.25	17	elegans	L1	gavin_w
247.25	15.75	elegans	L1	gavin_w
270	17.5	elegans	L1	gavin_w
237.5	17.75	elegans	L1	gavin_w
244	16	elegans	L1	gavin_w
314.25	15	elegans	L1	gavin_w
253.5	15.5	elegans	L1	gavin_w
279.75	14.75	elegans	L1	gavin_w
250.5	16.75	elegans	L1	gavin_w
256	16	elegans	L1	gavin_w
376.5	22	elegans	L2	gavin_w
376.5	20	elegans	L2	gavin_w
342.5	22.75	elegans	L2	gavin_w
383.5	21.5	elegans	L2	gavin_w
387	21.75	elegans	L2	gavin_w
376.25	23.75	elegans	L2	gavin_w
472.25	24	elegans	L2	gavin_w
387.25	24.25	elegans	L2	gavin_w
360.5	20	elegans	L2	gavin_w
484.5	22.75	elegans	L2	gavin_w
356.5	21.75	elegans	L2	gavin_w
340.75	24.5	elegans	L2	gavin_w
368.75	24.5	elegans	L2	gavin_w
483	25	elegans	L2	gavin_w
455.25	26.25	elegans	L2	gavin_w
425.5	23.75	elegans	L2	gavin_w
358.5	25.5	elegans	L2	gavin_w
403.25	23.5	elegans	L2	gavin_w
368.25	27.5	elegans	L2	gavin_w
379	25.25	elegans	L2	gavin_w
376.75	24	elegans	L2	gavin_w
427	23.25	elegans	L2	gavin_w
336.25	20.25	elegans	L2	gavin_w
398.5	26	elegans	L2	gavin_w
378	21.75	elegans	L2	gavin_w
404.25	20.75	elegans	L2	gavin_w
369.75	22.5	elegans	L2	gavin_w
382	20.5	elegans	L2	gavin_w
427.5	23	elegans	L2	gavin_w
387.5	27	elegans	L2	gavin_w
354.5	23.75	elegans	L2	gavin_w
346.75	22.5	elegans	L2	gavin_w
349.25	20.75	elegans	L2	gavin_w
376.75	25	elegans	L2	gavin_w
321.75	24.25	elegans	L2	gavin_w
365	23.75	elegans	L2	gavin_w
330	18.5	elegans	L2	gavin_w
399.75	25	elegans	L2	gavin_w
406.25	23	elegans	L2	gavin_w
351.5	22.75	elegans	L2	gavin_w
535	33.25	elegans	L3	gavin_w
512.5	32.75	elegans	L3	gavin_w
506.5	31.75	elegans	L3	gavin_w
487.75	28.25	elegans	L3	gavin_w
525.25	30.75	elegans	L3	gavin_w
522	31.5	elegans	L3	gavin_w
510.25	27.5	elegans	L3	gavin_w
641.5	39.25	elegans	L3	gavin_w
497.25	32	elegans	L3	gavin_w
502.75	30.75	elegans	L3	gavin_w
550	32.75	elegans	L3	gavin_w
551.25	32.5	elegans	L3	gavin_w
578.5	31.25	elegans	L3	gavin_w
454.75	28	elegans	L3	gavin_w
537.75	32.25	elegans	L3	gavin_w
539	31.5	elegans	L3	gavin_w
402.75	28.25	elegans	L3	gavin_w
539	31.5	elegans	L3	gavin_w
402.75	28.25	elegans	L3	gavin_w
532.75	27.75	elegans	L3	gavin_w
521.75	28.25	elegans	L3	gavin_w
495.25	29.25	elegans	L3	gavin_w
505.25	28.25	elegans	L3	gavin_w
458.25	31	elegans	L3	gavin_w
481.25	34	elegans	L3	gavin_w
490.5	30.25	elegans	L3	gavin_w
550.25	28.75	elegans	L3	gavin_w
518.5	31.5	elegans	L3	gavin_w
526.5	29.5	elegans	L3	gavin_w
515.75	27.5	elegans	L3	gavin_w
507.75	32.75	elegans	L3	gavin_w
639.25	39	elegans	L3	gavin_w
507	30.75	elegans	L3	gavin_w
530	34.25	elegans	L3	gavin_w
543.75	29.25	elegans	L3	gavin_w
526.25	29	elegans	L3	gavin_w
722	48	elegans	L4	gavin_w
714.25	45.25	elegans	L4	gavin_w
742.75	50	elegans	L4	gavin_w
736.75	53	elegans	L4	gavin_w
809.25	43.75	elegans	L4	gavin_w
762.75	47.75	elegans	L4	gavin_w
751.25	44	elegans	L4	gavin_w
738.5	42.5	elegans	L4	gavin_w
748.75	47.25	elegans	L4	gavin_w
755.25	40.25	elegans	L4	gavin_w
748	47.25	elegans	L4	gavin_w
737.25	48.75	elegans	L4	gavin_w
794.5	51.25	elegans	L4	gavin_w
752.75	46.75	elegans	L4	gavin_w
807.75	50.5	elegans	L4	gavin_w
807	48	elegans	L4	gavin_w
778.25	45.25	elegans	L4	gavin_w
726.5	46.75	elegans	L4	gavin_w
870.5	50	elegans	L4	gavin_w
690.5	44.75	elegans	L4	gavin_w
673.5	38.5	elegans	L4	gavin_w
689.25	37.25	elegans	L4	gavin_w
763.75	43	elegans	L4	gavin_w
774.25	38.25	elegans	L4	gavin_w
705.5	40.75	elegans	L4	gavin_w
790.25	45.75	elegans	L4	gavin_w
750.75	42.25	elegans	L4	gavin_w
677.75	40	elegans	L4	gavin_w
838.5	49.5	elegans	L4	gavin_w
767	55.75	elegans	L4	gavin_w
712.25	38.25	elegans	L4	gavin_w
805.75	43.25	elegans	L4	gavin_w
748.25	42	elegans	L4	gavin_w
708	42.25	elegans	L4	gavin_w
779	40	elegans	L4	gavin_w
632.25	38	elegans	L4	gavin_w
691	38.75	elegans	L4	gavin_w
763.75	37.25	elegans	L4	gavin_w
766.75	43.25	elegans	L4	gavin_w
707.25	43.75	elegans	L4	gavin_w
736.5	44.75	elegans	L4	gavin_w
712.75	52.25	elegans	young_adult	gavin_w
860.25	51	elegans	young_adult	gavin_w
894.25	57.75	elegans	young_adult	gavin_w
833.25	51.5	elegans	young_adult	gavin_w
771.25	39.25	elegans	young_adult	gavin_w
685.75	37	elegans	young_adult	gavin_w
809.75	58.25	elegans	young_adult	gavin_w
818.5	51.25	elegans	young_adult	gavin_w
940.5	58.25	elegans	young_adult	gavin_w
767	43.75	elegans	young_adult	gavin_w
855.25	44	elegans	young_adult	gavin_w
878.75	43	elegans	young_adult	gavin_w
718.75	46	elegans	young_adult	gavin_w
815.25	53.5	elegans	young_adult	gavin_w
818.25	50	elegans	young_adult	gavin_w
824	64.75	elegans	young_adult	gavin_w
844.5	54.5	elegans	young_adult	gavin_w
1022.5	58.75	elegans	young_adult	gavin_w
817	50	elegans	young_adult	gavin_w
880.5	49	elegans	young_adult	gavin_w
896.25	49.5	elegans	young_adult	gavin_w
911.75	46.75	elegans	young_adult	gavin_w
812.75	49.5	elegans	young_adult	gavin_w
836.5	50.75	elegans	young_adult	gavin_w
855	46	elegans	young_adult	gavin_w
883.25	53	elegans	young_adult	gavin_w
747.75	46.75	elegans	young_adult	gavin_w
811.5	45.25	elegans	young_adult	gavin_w
814.5	55	elegans	young_adult	gavin_w
827.25	58	elegans	young_adult	gavin_w
939.75	65	elegans	gravid_adult	gavin_w
989.5	73.25	elegans	gravid_adult	gavin_w
937.5	58.75	elegans	gravid_adult	gavin_w
979	79.25	elegans	gravid_adult	gavin_w
842	48.25	elegans	gravid_adult	gavin_w
981.5	60.5	elegans	gravid_adult	gavin_w
931	60.25	elegans	gravid_adult	gavin_w
1036.75	69.75	elegans	gravid_adult	gavin_w
1049.75	74.25	elegans	gravid_adult	gavin_w
948.75	62.5	elegans	gravid_adult	gavin_w
920.75	59.25	elegans	gravid_adult	gavin_w
989.25	69.5	elegans	gravid_adult	gavin_w
1143.25	73.75	elegans	gravid_adult	gavin_w
966.25	82	elegans	gravid_adult	gavin_w
1106	67.25	elegans	gravid_adult	gavin_w
904.25	59	elegans	gravid_adult	gavin_w
917.5	55	elegans	gravid_adult	gavin_w
891	56	elegans	gravid_adult	gavin_w
923.25	61.25	elegans	gravid_adult	gavin_w
971.25	71.25	elegans	gravid_adult	gavin_w
1084	72.75	elegans	gravid_adult	gavin_w
1106.5	65.5	elegans	gravid_adult	gavin_w
1079	73.5	elegans	gravid_adult	gavin_w
951	69.5	elegans	gravid_adult	gavin_w
918.25	58.75	elegans	gravid_adult	gavin_w
1087.75	70.75	elegans	gravid_adult	gavin_w
912	58	elegans	gravid_adult	gavin_w
896	58.5	elegans	gravid_adult	gavin_w
1044.75	69.5	elegans	gravid_adult	gavin_w
1083	68.25	elegans	gravid_adult	gavin_w
1056.75	74.75	elegans	gravid_adult	gavin_w
861	58.25	elegans	gravid_adult	gavin_w
920.25	52.5	elegans	gravid_adult	gavin_w
941.75	69.75	elegans	gravid_adult	gavin_w
957.5	59.75	elegans	gravid_adult	gavin_w
896.5	61	elegans	gravid_adult	gavin_w
1110.25	72.5	elegans	gravid_adult	gavin_w
991	54.5	elegans	gravid_adult	gavin_w
932.5	58.5	elegans	gravid_adult	gavin_w
1063.5	73.25	elegans	gravid_adult	gavin_w
879.25	46.5	inopinata	L4	gavin_w
1064.25	49.75	inopinata	L4	gavin_w
1047.25	44	inopinata	L4	gavin_w
852	49	inopinata	L4	gavin_w
1007	48	inopinata	L4	gavin_w
936.75	51.75	inopinata	L4	gavin_w
889.75	40.5	inopinata	L4	gavin_w
957	47.75	inopinata	L4	gavin_w
1041.5	47.75	inopinata	L4	gavin_w
992.5	48.5	inopinata	L4	gavin_w
974.75	48.5	inopinata	L4	gavin_w
877.25	40	inopinata	L4	gavin_w
959.75	42.25	inopinata	L4	gavin_w
964.5	41.5	inopinata	L4	gavin_w
994	44.75	inopinata	L4	gavin_w
759	33.25	inopinata	L4	gavin_w
896.75	37.5	inopinata	L4	gavin_w
992.75	50	inopinata	L4	gavin_w
872.75	44.5	inopinata	L4	gavin_w
923	50.25	inopinata	L4	gavin_w
964	42.75	inopinata	L4	gavin_w
1030.5	45	inopinata	L4	gavin_w
956.25	47.75	inopinata	L4	gavin_w
918	39.75	inopinata	L4	gavin_w
889.25	52.25	inopinata	L4	gavin_w
1008.5	44.5	inopinata	L4	gavin_w
1018.25	47	inopinata	L4	gavin_w
839.75	41	inopinata	L4	gavin_w
929.5	41.5	inopinata	L4	gavin_w
971.25	46.75	inopinata	L4	gavin_w
992.25	50.75	inopinata	L4	gavin_w
830	36	inopinata	L4	gavin_w
1038.5	51	inopinata	L4	gavin_w
