species	strain	stage	date_image_taken	folder	magnification	file	length_include_tail_arbitrary	length_head_to_end_of_gut_arbitrary	width_exclude_sheath_arbitrary	tail_length_arbitrary	length_include_tail_micron	length_head_to_end_of_gut_micron	width_exclude_sheath_micron	tail_length_micron
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_01.jpg	579.201	489.515	29.069	27.357	467.708367540191	395.286371288096	23.4733961716672	22.0909456489146
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_02.jpg	509.272	443.929	33.838	25	411.240270223857	358.475396095223	27.3243929841713	20.1876536616904
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_03.jpg	572.27	470.096	32.062	22.472	480.98444365774	379.605409429841	25.8902620680448	18.1462781234203
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_04.jpg	488.065	443.657	30.083	29.833	394.115487375718	358.255754423384	24.2922074041854	24.0903308675684
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_05.jpg	578.496	526.319	32.65	20.248	467.139075706931	425.00582750269	26.3650756821677	16.3503844536763
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_06.jpg	544.178	454.838	30.594	30.685	457.373534486836	367.284480647038	24.7048430450303	24.7783261043589
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_07.jpg	559.518	489.211	29	20.238	451.814224059269	395.04088941957	23.4176782475609	16.3423093922117
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_08.jpg	484.44	417.456	32.016	29.155	391.188277594773	337.098285879786	25.8531167853073	23.5428417002634
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_09.jpg	570.281	523.968	35.014	23.087	479.312718670522	423.107380552345	28.2740202124172	18.6428944034979
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_10.jpg	623.393	533.675	29.12	31.794	503.393679164888	430.945842716106	23.514578985137	25.6738504207914
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_11.jpg	609.122	537.847	32.985	28.459	491.869758948648	434.314758359169	26.6355902412344	22.9808174223219
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_12.jpg	609.675	519.293	30.15	33.16	512.42279114235	419.332289317609	24.3463103159987	26.7769038168662
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_13.jpg	399.555	347.878	29.411	30.868	322.643118351869	280.913623220862	23.7495632737591	24.9260997291624
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_14.jpg	616.788	537.303	32.016	23.533	498.060101067469	433.875475015491	25.8531167853073	19.0030421448225
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_15.jpg	583.533	502.8	33.422	19.958	490.450828037346	406.014090443918	26.9884704272407	16.1162076712007
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_16.jpg	536.748	458.166	28.844	17.156	433.427309104201	369.971861102483	23.291707288712	13.8535754487985
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_17.jpg	524.371	460.917	30.463	24.938	423.432805529371	372.193310511415	24.599059739843	20.1375882806095
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_18.jpg	619.452	517.278	32.985	25.456	520.640214571224	417.705164432477	26.6355902412344	20.5558764644797
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_19.jpg	594.551	504.527	25.612	24.152	480.103586888469	407.408653558868	20.6818474233286	19.5028884494859
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_19.jpg	522.862	444.497	25.179	22.486	422.214278754352	358.934059586417	20.3321972619082	18.1575832094709
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_20.jpg	634.116	566.667	30.414	30.926	532.965088986792	457.587085500366	24.5594919386661	24.9729350856576
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_20.jpg	597.867	526.595	27.893	25.795	482.781277270155	425.228699199115	22.5237689434213	20.8296210481322
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_21.jpg	611.575	533.748	27.019	33.099	493.850571525934	431.004790664798	21.8180085714086	26.7276459419317
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_21.jpg	597.887	532.345	32.573	21.615	502.515152052694	429.871859541304	26.3028977088897	17.4542453558976
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_22.jpg	618.238	544.323	29.155	28.944	499.230984979847	439.544168163693	23.5428417002634	23.3724579033587
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_23.jpg	566.553	482.409	30.017	27.008	457.495029799668	389.548232611297	24.2389119985185	21.8091260037974
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_25.jpg	614.529	590.89	28.231	18.502	516.502506118698	477.147306886251	22.7967060209273	14.9404787219439
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_26.jpg	571.104	492.903	25.962	26.367	461.169990272243	398.022202112328	20.9644745745923	21.2915145639117
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_27.jpg	619.843	540.019	31.257	23.45	500.527032344928	436.068661709297	25.2402196201383	18.9360191346656
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_28.jpg	609.404	542.77	33.601	23.871	512.195019663448	438.290111118229	27.1330140274584	19.2759792223285
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_29.jpg	541.241	472.462	32	25.406	437.05543422028	381.515968972384	25.8401966869638	20.5155011571563
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_30.jpg	558.743	478.019	31.765	31.498	451.188406795756	386.003280628304	25.6504327425439	25.434828601437
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_30.jpg	630.149	571.928	29.017		529.630884349138	461.835375336932	23.4314058520509	
C. inopinata	PX724	dauer	10_18_19	px724_SDS_dauer_10-18-19	20x	Image_31.jpg	614.604	574.67	35.355	30.379	496.296507643584	464.049557190546	28.5493798083626	24.5312292235398
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_01.jpg	666.849	564.947	25.632	48.127	538.484666265785	456.198174928441	20.697997546258	38.8628483110471
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_02.jpg	566.304	482.844	22.023	41.743	475.970109181248	389.89949778501	17.7837078636564	33.7077290719978
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_03.jpg	654.707	528.22	25.318	49.812	528.679926635375	426.540896687125	20.4444406162672	40.223496167845
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_04.jpg	780.902	659.898	31.241	58.637	630.583164788856	532.871691041688	25.2272995217949	47.3497379104217
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_05.jpg	790.806	695.453	30	71.502	664.660709020572	561.582572079344	24.2251843940285	57.7383044847276
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_06.jpg	635.929	537.806	22.091	46.281	513.516576217006	434.281650607164	17.8386182816162	37.3721919646678
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_07.jpg	636.328	533.915	23.854	41.286	513.838771169446	431.139644191258	19.2622516178386	33.3386987630621
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_08.jpg	678.088	559.363	24.839	46.967	569.922902530256	451.689060606566	20.0576451721092	37.9261411811446
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_09.jpg	713.134	604.433	33.287	42.09	575.860088255038	488.083362627862	26.8794570974676	33.987933704822
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_10.jpg	662.084	561.929	26.926	47.143	534.636899477866	453.761121378402	21.7429104997871	38.0682622629229
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_11.jpg	638.403	543.465	23.087	58.576	536.568248876286	438.851327890024	18.6428944034979	47.3004800354872
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_12.jpg	682.884	582.448	23.195	51.325	551.433027324393	470.330339997771	18.7301050673164	41.4452529674505
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_12.jpg	725.271	623.466	26.42	49.113	585.660790354716	503.45262711358	21.3343123896745	39.6590493714641
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_13.jpg	684.709	585.177	22.804	39.253	575.487754787858	472.534024271481	18.4143701640476	31.6970387672934
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_13.jpg	653.1	557.29	25.807	39.199	527.382264258001	450.015100364939	20.8393111218898	31.6534334353842
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_14.jpg	688.683	585.845	24.331	29.972	556.115755467759	473.073438377322	19.6474320497036	24.2025742219274
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_15.jpg	656.994	562.364	23.854	39.473	552.193708523028	454.112386552116	19.2622516178386	31.8746901195163
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_16.jpg	664.062	558.507	26.173	50.44	536.234146635579	450.99783534519	21.134858371497	40.7306100278267
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_17.jpg	719.246	625.985	26.42	47.566	580.795565822248	505.486735096532	21.3343123896745	38.4098373628787
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_18.jpg	658.531	547.449	25.06	56.932	553.485534217022	442.068432377551	20.2361040304785	45.9729399306944
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_19.jpg	643.828	536.837	25.554	46.872	519.895067267954	433.499177151237	20.6350120668335	37.8494280972302
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_20.jpg	641.806	530.352	24.839	45.188	518.262289839796	428.262499791394	20.0576451721092	36.4895877465787
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_20.jpg	684.717	581.314	26.019	42.933	575.494478669154	469.414628027677	21.010502424941	34.6686613862942
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_20.jpg	699.32	638.916	24.331	45.606	564.705198347735	515.928597076505	19.6474320497036	36.8271253158022
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_21.jpg	682.901	594.595	26.833	40.361	551.446754928883	480.139117158913	21.6678124281656	32.5917555775795
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_22.jpg	692.848	594.716	25.179	42.406	582.328463521376	480.236825402636	20.3321972619082	34.2431056471058
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_23.jpg	711.671	571.745	30.414	52.202	574.678706762756	461.687601712128	24.5594919386661	42.1534358579026
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_23.jpg	637.949	534.083	24.839	68.593	515.14773863287	431.275305223865	20.0576451721092	55.3892691046533
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_24.jpg	671.675	596.573	24.083	49.186	564.53287118635	481.736364316626	19.4471705253796	39.7179973201563
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_25.jpg	755.415	653.237	30	49.186	610.002255633836	527.492892600067	24.2251843940285	39.7179973201563
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_26.jpg	694.7	622.514	26.907	53.877	560.974519951054	502.683881262143	21.7275678830042	43.5060086532359
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_27.jpg	780.018	642.69	36.056	66.845	655.593555092916	518.976125273273	29.1154416170364	53.9777483606279
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_28.jpg	664.785	571.903	23.854	48.175	536.817973579475	461.81518768327	19.2622516178386	38.9016086060775
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_28.jpg	683.022	588.261	25.632	32.558	551.544463172605	475.024373227187	20.697997546258	26.2907851166927
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_28.jpg	676.405	592.308	28.018	43.14	568.50836600261	478.292350601942	22.6247072117297	34.835815158613
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_29.jpg	708.441	592.656	27.514	50.062	572.070461909666	478.573362740913	22.21772411391	40.4253727044619
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_30.jpg	743.803	634.7	29.833	65.396	600.625494261054	512.524151162997	24.0903308675684	52.8076719543964
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_31.jpg	671.59	586.427	24.698	43.778	564.46142994758	473.543406954566	19.9437868054572	35.3510040800594
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_32.jpg	744.447	628.041	31.321	63.194	601.145528219379	507.146967733669	25.2919000135123	51.0295434198747
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_33.jpg	707.862	594.573	28.018	32.561	571.602915850861	480.121352023691	22.6247072117297	26.2932076351321
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_34.jpg	698.551	591.527	24.187	42.535	587.121750400262	477.661688301551	19.5311511646123	34.3472739400001
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_35.jpg	660.945	518.046	24.021	55.785	533.71714997704	418.325329152964	19.3971051442987	45.0467303806961
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_36.jpg	679.704	596.869	24	45.967	548.865157778626	481.975386135981	19.3801475152228	37.118635034677
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_37.jpg	604.871	509.833	23.087	69.732	508.385100424102	411.693281172025	18.6428944034979	56.3090186054799
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_38.jpg	675.788	563.939	29.12	47.348	545.702963709059	455.384208732802	23.514578985137	38.2338010229488
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_39.jpg	619.854	520.793	20.809	47.834	500.535914912539	420.54354853731	16.8033954018447	38.626249010132
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_39.jpg	635.347	572.017	28.792	47.321	533.999726221214	461.907243383967	23.2497169690957	38.2119983569941
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_40.jpg	673.937	574.834	27.893	49.668	544.208269831947	464.181988198567	22.5237689434213	40.1072152827537
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_42.jpg	668.65	573.282	30.529	35.504	539.938984835573	462.928738659249	24.6523551455099	28.6696982241863
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_43.jpg	706.414	629.263	25.08	58.859	593.730485229068	508.133740244653	20.2522541534079	47.5290042749375
C. elegans	N2	dauer	10_17_19	N2_dauer_10-17-19	20x	Image_44.jpg	698.015	606.521	23.345	50.099	563.651402826594	489.769435461686	18.8512309892865	40.4552504318812
